offer_id_local;page_no;offer_id;psu_power;psu_standard;psu_cert;offer_url;price;brand;rating;model;offer_title;bought;votes
45;1;10971264819;600;ATX;Platinum;https://allegro.pl/oferta/zasilacz-corsair-sf600-600w-600-w-10971264819;589,00;Corsair;5.0;SF600 600W;;1;
46;1;11455895864;630;ATX;Gold;https://allegro.pl/oferta/zasilacz-thermaltake-smart-se-630w-modular-11455895864;368,10;Thermaltake;4.5;Smart SE 630W Modular;;0;
47;1;11480623112;650;ATX;Bronze;https://allegro.pl/oferta/zasilacz-aerocool-pgs-lux-650w-80-bronze-11480623112;238,99;Aerocool;5.0;LUX 650W;;0;
48;1;11661076118;750;ATX;Bronze;https://allegro.pl/oferta/zasilacz-corsair-750w-cx750m-plus-bronze-modularny-11661076118;439,00;Corsair;5.0;Builder Series CX 750W 80+ Bronze Modular;;1;
49;1;11480623148;550;ATX;Gold;https://allegro.pl/oferta/zasilacz-chieftec-atx-550w-psu-80-gold-11480623148;388,99;Chieftec;5.0;Polaris;;0;
50;1;11679826870;700;ATX;Bronze;https://allegro.pl/oferta/chieftec-gpe-700s-700w-atx-12v-box-11679826870;321,24;Chieftec;;GPE-700S 700W ATX-12V;;0;
51;1;11318165040;850;ATX;Gold;https://allegro.pl/oferta/zasilacz-seasonic-prime-gx-850-w-11318165040;980,00;Seasonic;5.0;Prime GX;;0;
52;1;11477127119;850;ATX;Gold;https://allegro.pl/oferta/zasilacz-cooler-master-mpe-8501-afaag-eu-850-w-11477127119;349,00;Cooler Master;5.0;MPE-8501-AFAAG-EU;;7;
53;1;11477115096;750;ATX;Gold;https://allegro.pl/oferta/zasilacz-cooler-master-v750-750w-mpy-7501-afaagv-11477115096;399,00;Cooler Master;;MPY-7501-AFAAGV;;1;
54;1;8921679088;750;ATX;Gold;https://allegro.pl/oferta/silentiumpc-zasilacz-supremo-fm2-gold-750w-8921679088;429,00;SilentiumPC;4.96;SPC169;;45;
55;1;10045580000;650;ATX;Bronze;https://allegro.pl/oferta/zasilacz-corsair-cx650f-650w-cp-9020217-eu-10045580000;309,00;Corsair;4.76;CP-9020217-EU;;11;
56;1;11799847143;850;ATX;Gold;https://allegro.pl/oferta/zasilacz-seasonic-focus-gx-850-850-w-11799847143;671,30;Seasonic;4.98;FOCUS-GX-850;;0;
57;1;11458304413;500;ATX;Bronze;https://allegro.pl/oferta/zasilacz-silentiumpc-vero-l3-500w-80-bronze-spc265-11458304413;212,99;SilentiumPC;4.97;Vero L3 Bronze 500W;;45;
58;1;11552058517;1000;ATX;Gold;https://allegro.pl/oferta/zasilacz-gigabyte-p1000gm-1000-w-11552058517;625,60;Gigabyte;4.9;P1000GM;;11;
59;2;10882298285;750;ATX;Gold;https://allegro.pl/oferta/zasilacz-asus-rog-strix-750g-750-w-10882298285;821,99;ASUS;5.0;ROG STRIX 750G;;0;
60;2;10745420779;630;ATX;Bronze;https://allegro.pl/oferta/zasilacz-thermaltake-smart-se-630w-80-bronze-10745420779;302,00;Thermaltake;5.0;Smart;;0;
